processed_tweets,class,neutralized_tweets
rt i hate when people ask who you tryna look good for bitch myself bye,1,rt i hate when people ask who you tryna look good for person myself bye
you out yo mind rose colder than kim amp way more down to earth kanye bitch give him more problems than wiz s does,1,you out yo mind rose colder than kim amp way more down to earth kanye person give him more problems than wiz s does
if your a nigga and you use the term yassssssssss im just gonna assume your a fag,1,if your a person and you use the term yassssssssss im just gonna assume your a person
i m sick as fuck this shit is for the birds,1,i m sick as messing around this stuff is for the birds
and if u aint a ho get up out my trap houuuse,1,and if u aint a ho get up out my trap houuuse
rt if a bitch tweeting about a nigga and he saying he don t mess with her he s lying that bitch ain t tweeting for nothing,1,rt if a person tweeting about a person and he saying he don t mess with her he s lying that person ain t tweeting for nothing
you and should name a group called mob moaning old bitches,1,you and should name a group called mob moaning old person
pussy nigga it s the same term,1,pussy person it s the same term
rt i look at every bitch ass that walk past me,1,rt i look at every person person that walk past me
guys that struggle to get pussy are the main niggas that bad talk women he could get more pussy if he can learn how to stfu and chill,1,guys that struggle to get pussy are the main person that bad talk women he could get more pussy if he can learn how to stfu and chill
rt women all over america are overstating the value of pussy,1,rt women all over america are overstating the value of pussy
i hate when people organize plans and you end up reaching the destination before them bitch don t ask me if i m here,1,i hate when people organize plans and you end up reaching the destination before them person don t ask me if i m here
rt my soul mate probably some ho around the corner,1,rt my soul mate probably some ho around the corner
hoe,1,people
hitler didn t finish it can u if a nigger ur jew confronts u in the street what then,0,hitler didn t finish it can u if a nigger ur jew confronts u in the street what then
rt i look in the mirror and see a pussy ass bitch that sits down when he pees,1,rt i look in the mirror and see a pussy person person that sits down when he pees
not true rt every man has hoes bye,1,not true rt every man has people bye
jhene aiko ain t shit but a spiteful side hoe she ain t even fine,1,jhene aiko ain t stuff but a spiteful side people she ain t even fine
beyonc more of a hipster bitch wit no hips these days,1,beyonc more of a hipster person wit no hips these days
aint this a bitch the power out from this shit,1,aint this a person the power out from this stuff
rt made homemade chili and cornbread for dinner and watching supernatural with my fave boys happy saturday bitches http,1,rt made homemade chili and cornbread for dinner and watching supernatural with my fave boys happy saturday person http
but never to moose lol log off faggot your finished,1,but never to moose lol log off person your finished
one of the biggest arrests of a loudmouth bitch was reesewitherspoon so why a nigga gotta act like a whitebitch to the police,1,one of the biggest arrests of a loudmouth person was reesewitherspoon so why a person gotta act like a whitebitch to the police
and your an annoying ass fuck boy he could of still meet up and fight somwhere else u can shut that bitch shit up fuck boy,1,and your an annoying person messing around boy he could of still meet up and fight somwhere else u can shut that person stuff up messing around boy
das new bae my bitch bad or naw lmao,1,das new bae my person bad or naw lmao
you look like ac green bitch don t call here anymore,1,you look like ac green person don t call here anymore
i m always dumb too a extra slow ass bitch,1,i m always dumb too a extra slow person person
lol bitches be hella mad about they exs like why can t you be friends and forget about the past,1,lol person be hella mad about they exs like why can t you be friends and forget about the past
rt i always text my besties like bitch call me i got the scoop,1,rt i always text my besties like person call me i got the scoop
bitch give me my lighter or get shot,1,person give me my lighter or get shot
talkin bout bitches gettin butthurt am i right,1,talkin bout person gettin butthurt am i right
u a regular nig u played out b lol ima b ig famous these days that counts for somethin,0,u a regular nig u played out b lol ima b ig famous these days that counts for somethin
fuck that hoe,1,messing around that people
liking all my pictures to get a follow ass bitches,1,liking all my pictures to get a follow person person
ok wat ever u say whitey u prolly never even seen shaft,0,ok wat ever u say whitey u prolly never even seen shaft
rt messi refused to be subbed off are you kidding me so they took off neymar you little hobbit diva bitch,1,rt messi refused to be subbed off are you kidding me so they took off neymar you little hobbit diva person
rt lexi swear she a bad bitch,1,rt lexi swear she a bad person
errybody in dis bitch getting tips whispers errybody in dis bitch getting tipsy,1,errybody in dis person getting tips whispers errybody in dis person getting tipsy
y all can have skylar diggins looks like a tranny to me,1,y all can have skylar diggins looks like a transgender person to me
rt yo hoe will get slayed,1,rt yo people will get slayed
cassie laine brunette slips off her lingerie and massages her wet pussy with oil,1,cassie laine brunette slips off her lingerie and massages her wet pussy with oil
rt so before you wear a thong get yo pussy in check,1,rt so before you wear a thong get yo pussy in check
what be the peckin order white christian colored porto ricans arab jews i donts know i be axin,0,what be the peckin order white christian colored porto ricans arab jews i donts know i be axin
rt today seems like as good a day as ever to bang some bitches and go for ice cream,1,rt today seems like as good a day as ever to bang some person and go for ice cream
rt fake ass bitches bruh lol,1,rt fake person person bruh lol
nigga ill take ya main hoe make her call her home girl and make em share the same dick,1,person ill take ya main people make her call her home girl and make em share the same dick
rt i m running like a bitch michael clifford role model and inspiration to many,1,rt i m running like a person michael clifford role model and inspiration to many
why is it always the fat bitches talking shit,1,why is it always the fat person talking stuff
this was hung in the boys bathroom st dominic silly bitches,1,this was hung in the boys bathroom st dominic silly person
aint no hoe in blood,1,aint no people in blood
bill romanowski is still a cunt who saw that one coming,1,bill romanowski is still a cunt who saw that one coming
she playin pussy hole bingo she drawing the next number,1,she playin pussy hole bingo she drawing the next number
niggas who talk about pussy the most get the least rt what a shine box glittery pussy,1,person who talk about pussy the most get the least rt what a shine box glittery pussy
backdoor is open them hoes will let you fuck em in the ass usually an extra charge plus the rate you agreed upon,1,backdoor is open them people will let you messing around em in the person usually an extra charge plus the rate you agreed upon
i got no pic up lines i stay on my grind i tell a bitch all the time bitch get in my car i got my ridin on dayton spokes,1,i got no pic up lines i stay on my grind i tell a person all the time person get in my car i got my ridin on dayton spokes
when the baddest bitch in school walk by,1,when the baddest person in school walk by
yeah bitches you know he was hot shit back in the day,1,yeah person you know he was hot stuff back in the day
rt ion be understanding how all you hoes drop yall nuts at once but when a bitch on your ass you can t hear a mouse piss,1,rt ion be understanding how all you people drop yall nuts at once but when a person on your person you can t hear a mouse piss
can t let nobody play my gta bitches like using up all ya ammo n gettin ya dude kilt by the cops,1,can t let nobody play my gta person like using up all ya ammo n gettin ya dude kilt by the cops
like fucc i got into it wit my mama ajay the damn lunch lady duddy montea lowkey amp some lit raggedy hoe all in one day,1,like fucc i got into it wit my mama ajay the damn lunch lady duddy montea lowkey amp some lit raggedy people all in one day
rt all bitches cheat you just gotta acknowledge its gonna happens so when it does it ll hurt less,1,rt all person cheat you just gotta acknowledge its gonna happens so when it does it ll hurt less
rt what gerry sends me that damn jig a boo,1,rt what gerry sends me that damn jig a boo
dog i think it s a nigga dyke i was wondering the same rt is the person that sing no flex zone a male or female,1,dog i think it s a person dyke i was wondering the same rt is the person that sing no flex zone a male or female
if a bitch comes for me i hope she bout all that slick shit she yapping about thuggin,1,if a person comes for me i hope she bout all that slick stuff she yapping about thuggin
rt gee isn t cracker a racist term so tired of these race baiters,0,rt gee isn t cracker a racist term so tired of these race baiters
haha she a stupid hoe,1,haha she a stupid people
rt happy teen wolf here s me with getting ready to bitch slap a berzerker,1,rt happy teen wolf here s me with getting ready to person slap a berzerker
rt this nigga kanye looking at his ice cream like hoe ass ice cream you aint as cold as kanye,1,rt this person kanye looking at his ice cream like people person ice cream you aint as cold as kanye
i love living in minnesota the weather is bad enough for people to bitch about it but we don t have anything serious stay safe east coast,1,i love living in minnesota the weather is bad enough for people to person about it but we don t have anything serious stay safe east coast
money can t buy you love so i don t pay for no pussy,1,money can t buy you love so i don t pay for no pussy
rt i just fucked yo bitch bruh i tried not to tho,1,rt i just messing around yo person bruh i tried not to tho
tevin is my favorite sophomore i think he s so funny hes really not lmaoo hes a little hoe,1,tevin is my favorite sophomore i think he s so funny hes really not lmaoo hes a little people
rt i ll piss on a hoe,1,rt i ll piss on a people
i masturbated into the lingerie catalog out of spite how dare she throw it in the trash before i get to look at it,1,i masturbated into the lingerie catalog out of spite how dare she throw it in the trash before i get to look at it
rt that pussy ain t yours broski it s jus your turn,1,rt that pussy ain t yours broski it s jus your turn
rt when said fast bitch i call her bizzy busy cause she only bone thugs,1,rt when said fast person i call her bizzy busy cause she only bone thugs
it s trash ik just wanted to fuck with dorsey,1,it s trash ik just wanted to messing around with dorsey
close your eyes and let the world paint a thousand pictures one good girl is worth a thousand bitches,1,close your eyes and let the world paint a thousand pictures one good girl is worth a thousand person
bitch i got the beef links,1,person i got the beef links
i m colored ain t supposed to be no good influence,1,i m colored ain t supposed to be no good influence
i don t get it i m either a pussy or troll where is the room for the truth and or my opinions on my tl social media fucked up,1,i don t get it i m either a pussy or troll where is the room for the truth and or my opinions on my tl social media messing around up
she looks like a real dyke now,1,she looks like a real dyke now
rt u ain t sailor moon bitch,1,rt u ain t sailor moon person
i make bitches fly like peter pan do,1,i make person fly like peter pan do
if a nigga phone broke best believe he only gon memorize his main bitch number or the bitch that s cash in him out number,1,if a person phone broke best believe he only gon memorize his main person number or the person that s cash in him out number
it s my dogs birthday you should get it a bad bitch punny,1,it s my dogs birthday you should get it a bad person punny
rt don t be a stupid fucking bitch me to stupid fucking bitches,1,rt don t be a stupid messing around person me to stupid messing around person
ask for my number he a lame i m like cuh mobbin with my bitches turn down for what,1,ask for my number he a lame i m like cuh mobbin with my person turn down for what
that s all i m saying you hoe ass niggas,1,that s all i m saying you people person person
i sound retarded but he is learning quickly,1,i sound retarded but he is learning quickly
rt you re a fag for using that emoji anyways you are one of my best friends amp there is never a dull moment,1,rt you re a person for using that emoji anyways you are one of my best friends amp there is never a dull moment
fluffy is a retard homeboy is calling a baby rattlesnake friend and kissing him baby rattlers will kill you man,1,fluffy is a retard homeboy is calling a baby rattlesnake friend and kissing him baby rattlers will kill you man
rt they sound like soulless cunts,1,rt they sound like soulless cunts
rt thingsiliketodo serenading your bitch,1,rt thingsiliketodo serenading your person
you bitches all got that one friend who wear the same fit to every other function and it don t even be that clean,1,you person all got that one friend who wear the same fit to every other function and it don t even be that clean
rt i asked what s the definition of a preppy white girl and this niggah said starbucks,1,rt i asked what s the definition of a preppy white girl and this person said starbucks
that hoe ask what time it is it s,1,that people ask what time it is it s
rt meth brownies,1,rt meth brownies
rt thanks for ignoring me faggots i m locked outside,1,rt thanks for ignoring me faggots i m locked outside
lightskins and spanish girls be acting like breaking niggas hearts is a necessity stop being cruel bitch,1,lightskins and spanish girls be acting like breaking person hearts is a necessity stop being cruel person
really tired of having a constant bitch face,1,really tired of having a constant person face
hey dude watch who your calling a bitch,1,hey dude watch who your calling a person
bitch why can t i retweet your shit lol love you hope you re having a great bday,1,person why can t i retweet your stuff lol love you hope you re having a great bday
we ain t gon talk bout yo partnas cuz dey ain t shit like my niccas,1,we ain t gon talk bout yo partnas cuz dey ain t stuff like my niccas
swear to god log on later i m posting the score on every social network you bitch ass nigga,1,swear to god log on later i m posting the score on every social network you person person person
hungry as ferkin nips,1,hungry as ferkin nips
fight me you tubby bitch i ll fight anyone,1,fight me you tubby person i ll fight anyone
n i cant even enjoy the reg house hunters which is of my fav shows because i know house hunters international bitch ass comes on next,1,n i cant even enjoy the reg house hunters which is of my fav shows because i know house hunters international person person comes on next
rt dumb bitches,1,rt dumb person
i m retarded hungover and all we had were beers a lot of beers,1,i m retarded hungover and all we had were beers a lot of beers
i ain t talking onna phone butch we straight texting ion wanna go to the movies bitch we sexin,1,i ain t talking onna phone butch we straight texting ion wanna go to the movies person we sexin
that hoe over that,1,that people over that
not as sick as you muzzie trash,1,not as sick as you muzzie trash
cants da coloreds and da white folk gets along we all be da same cept da colored men gots da bigga dicks,1,cants da coloreds and da white folk gets along we all be da same cept da colored men gots da bigga dicks
rt she s a hoe she s ugly she s a bitch she s this she s that but you dated her please take a seat,1,rt she s a people she s ugly she s a person she s this she s that but you dated her please take a seat
go watch nick jr childish ass bitch the nicks are playing,1,go watch nick jr childish person person the nicks are playing
you need a muzzle for your horse face bitch,1,you need a muzzle for your horse face person
rt i envy bitches with long full eyelashes,1,rt i envy person with long full eyelashes
if i m sharing my nigga with every other bitch why tf do i want him he ain t no longer special the heck,1,if i m sharing my person with every other person why tf do i want him he ain t no longer special the heck
bitch said i lie too much bitch you ain t worth telling the truth too,1,person said i lie too much person you ain t worth telling the truth too
rt when u love her none of them hoes matter,1,rt when u love her none of them people matter
rt every day i thank my nigga jesus for hot wings and my uncanny ability to tend to these bitches,1,rt every day i thank my person jesus for hot wings and my uncanny ability to tend to these person
rt gucci you conceited bitch i might be cause my chain so bright stevie wonder might see,1,rt gucci you conceited person i might be cause my chain so bright stevie wonder might see
rt shades of shut your bitch ass up,1,rt shades of shut your person person up
i need a new bitch,1,i need a new person
rt finding herself in the hoe section,1,rt finding herself in the people section
you a stupid hoe,1,you a stupid people
rt amp ima eat that pussy all filthy,1,rt amp ima eat that pussy all filthy
you are a hoe hoe amp a hoe,1,you are a people people amp a people
lil hoe tweets on point,1,lil people tweets on point
rt woah did this bitch say love,1,rt woah did this person say love
i taught myself how to eat pussy and cut my own hair i taught myself how to eat pussy hair name the movie,1,i taught myself how to eat pussy and cut my own hair i taught myself how to eat pussy hair name the movie
rt rt if u lost all your bitches,1,rt rt if u lost all your person
prolly sum hoe tryna get in the hurricane free rt who sent that nigga to twitter tho,1,prolly sum people tryna get in the hurricane free rt who sent that person to twitter tho
talk about pussy power,1,talk about pussy power
there s a lane some bitches need to stay in the left n get right the fuck outta our face,1,there s a lane some person need to stay in the left n get right the messing around outta our face
i need some new hoes,1,i need some new people
rt my tuesday bitch man i aint even hit it yet just finger pop her pussy just to sit and get the kitty wet,1,rt my tuesday person man i aint even hit it yet just finger pop her pussy just to sit and get the kitty wet
thx hoe,1,thx people
fag lol,1,person lol
my nigguh wtf,1,my nigguh what
rt why all these hoes be wearin flowers around they head i hope a bee sting they ass,1,rt why all these people be wearin flowers around they head i hope a bee sting they person
rt i m on my straight grizzly so why would i buy you a gay ass teddy bear bitch you re already bi polar,1,rt i m on my straight grizzly so why would i buy you a gay person teddy bear person you re already bi polar
feelin like i can have any bitch i want feelin like all these hoes in this bitch want me,1,feelin like i can have any person i want feelin like all these people in this person want me
yes because i too want to be fat and have a fat bitch wife,1,yes because i too want to be fat and have a fat person wife
as soon as a bitch think shit sweet give em wat they been asking for,1,as soon as a person think stuff sweet give em wat they been asking for
kevin hart bitch,1,kevin hart person
rt um exactly how most of these hoes twat is setup,1,rt um exactly how most of these people twat is setup
that ho went from darkskinned to mulatto rt this fucked me up,1,that ho went from darkskinned to mulatto rt this messing around me up
rt wake up in the morning give me head bitch,1,rt wake up in the morning give me head person
rt hickeys hurt i don t see how people always have them hoes,1,rt hickeys hurt i don t see how people always have them people
attention one and all just motoroboated my knees someone get this jiggaboo some water she thirsty,1,attention one and all just motoroboated my knees someone get this jiggaboo some water she thirsty
rt new years resolution smoke more weed make more money fuck more bitches,1,rt new years resolution smoke more weed make more money messing around more person
quit being a baby hit that patchouli pussy,1,quit being a baby hit that patchouli pussy
i m no man hoe tho,1,i m no man people tho
i thinkkk shee knows about maaaa otheeeeeeeer bitch,1,i thinkkk shee knows about maaaa otheeeeeeeer person
rt r u african because ur african bitch,1,rt r u african because ur african person
if he has a girlfriend don t be a hoe and text him yanno who u r,1,if he has a girlfriend don t be a people and text him yanno who u r
rt eli manning is fucking trash rap,1,rt eli manning is messing around trash rap
tell them hoes i m all friended out,1,tell them people i m all friended out
yourenotmytype if my fade is perpetually fresher than yours that s a real ass bitch rite there,1,yourenotmytype if my fade is perpetually fresher than yours that s a real person person rite there
rt if i was a bird you would be the st person i d shit on,1,rt if i was a bird you would be the st person i d stuff on
dat shit crazy a nicca use to wear dat shit fr,1,dat stuff crazy a nicca use to wear dat stuff fr
faggot but you sent me hella nudes hmmmm,1,person but you sent me hella nudes hmmmm
play these hoes like the lottery,1,play these people like the lottery
rt warning shots are for pussies i m just gonna gun you down and steal your pink boots,1,rt warning shots are for pussies i m just gonna gun you down and steal your pink boots
these hoes aint loyal,1,these people aint loyal
here come the desperate hoes,1,here come the desperate people
fuckin twats,1,fuckin twats
rt no thanx i m on a diet rt rt i love salad rt anyway fuck you hoes eat a salad,1,rt no thanx i m on a diet rt rt i love salad rt anyway messing around you people eat a salad
rt lightskin bitches crying they ain t got no valentine bitch maybe you should ve read some of them unreads msgs yo,1,rt lightskin person crying they ain t got no valentine person maybe you should ve read some of them unreads msgs yo
i don t fuck with these niggas cause they shady i don t fuck with these bitches all they want is to have my baby,1,i don t messing around with these person cause they shady i don t messing around with these person all they want is to have my baby
orr why thts my lor bae tho wyd why u fucking up hoe,1,orr why thts my lor bae tho wyd why u messing around up people
nah gurl this pussy private,1,nah gurl this pussy private
i dont even say nigga i say nigger im like chuck norris i say the nigger word without checking over my shoulder,0,i dont even say person i say nigger im like chuck norris i say the nigger word without checking over my shoulder
i fuck bad bitches to stacy lattisaw why you nigga s balls blue like an avatar,1,i messing around bad person to stacy lattisaw why you person s balls blue like an avatar
if she makes a good sandwhich and she give a good blowy wife dat hoe up that way you can eat while she eatting,1,if she makes a good sandwhich and she give a good blowy wife dat people up that way you can eat while she eatting
i thought i love this bitch to the core,1,i thought i love this person to the core
rt good girl is worth bitches,1,rt good girl is worth person
nuke town that pussy,1,nuke town that pussy
nigga hungry then a bitch too,1,person hungry then a person too
rt iggy got a fat ass but other than the bitch look like a flounder fish,1,rt iggy got a fat person but other than the person look like a flounder fish
rt hahahaha signs be funny than a bitch,1,rt hahahaha signs be funny than a person
why you worried bout that other hoe cuz that other hoe aint worried bout another hoe,1,why you worried bout that other people cuz that other people aint worried bout another people
pedro is a little bitch cause he never dm me,1,pedro is a little person cause he never dm me
let s not forget kim don t fight i kill hoes,1,let s not forget kim don t fight i kill people
ur one to talk bitch,1,ur one to talk person
na nigguh i don t know how you rock,1,na nigguh i don t know how you rock
shout out to babes love that bitch,1,shout out to babes love that person
y all be cool out there in that cold chasing them hoes,1,y all be cool out there in that cold chasing them people
rt girl i know you got hoes me,1,rt girl i know you got people me
rt bitch i m not concerned about you,1,rt person i m not concerned about you
rt claims hoes don t exist uses hoe in her name,1,rt claims people don t exist uses people in her name
rt when you go down to eat the pussy and it smells tangy,1,rt when you go down to eat the pussy and it smells tangy
rt don t lie to me bitch i m giving you my heart,1,rt don t lie to me person i m giving you my heart
rebelscience is using an actual woman as a genetic engineering lab for all natural clones or something faggot rome,0,rebelscience is using an actual woman as a genetic engineering lab for all natural clones or something person rome
rt bird fucking,1,rt bird messing around
i don t want no boof hoes or no burnt girls,1,i don t want no boof people or no burnt girls
you re fucking gay blacklisted hoe holding out for tehgodclan anyway,0,you re messing around gay blacklisted people holding out for tehgodclan anyway
rt twitter was fye when niggas used to go in on trending topics now its just recycled tweets and hoes screaming they want loy,1,rt twitter was fye when person used to go in on trending topics now its just recycled tweets and people screaming they want loy
a bitch could never come out of her mouth and speak on shit that she has no idea what she s talking about,1,a person could never come out of her mouth and speak on stuff that she has no idea what she s talking about
and i dont have a mom bitch ass nigga u better shut your fucking mouth before i do it for you with duck ass,1,and i dont have a mom person person person u better shut your messing around mouth before i do it for you with duck person
these days bitches be just letting anyone hit raw,1,these days person be just letting anyone hit raw
all these hoes fuckin but they don t wanna seem like a hoe you gotta hit them ona d lo,1,all these people fuckin but they don t wanna seem like a people you gotta hit them ona d lo
hey you bitch in the mini van stop riding my ass you have no power in your vehicle just stop already,1,hey you person in the mini van stop riding my person you have no power in your vehicle just stop already
the whole afternoon has been about the deep voiced bitch,1,the whole afternoon has been about the deep voiced person
pull up on a nicca bored,1,pull up on a nicca bored
it s goldbar dumb bitch and no my dad wouldn t pick you up he doesn t like faggots like you,0,it s goldbar dumb person and no my dad wouldn t pick you up he doesn t like faggots like you
rt bum ass bitch u look like a hype thot ass u a hot ready dirty ho,1,rt bum person person u look like a hype thot person u a hot ready dirty ho
my bad dawg that s yo hoe,1,my bad dawg that s yo people
i m glad ari know to text me or get in contact with me cause i ve been calling my bitch all day i be worried,1,i m glad ari know to text me or get in contact with me cause i ve been calling my person all day i be worried
ur a cunt nd a wish a was a faggot,1,ur a cunt nd a wish a was a person
getting every dolla out this bitch,1,getting every dolla out this person
rt so yeah is the fucking best and i would really hate living if i didn t know her my bad bitch appreciation pos,1,rt so yeah is the messing around best and i would really hate living if i didn t know her my bad person appreciation pos
rt real niggah over here,1,rt real person over here
rt ona niggas i ll really beat dat hoe up,1,rt ona person i ll really beat dat people up
if i hit you w that shotty bitch i bet that body flip,1,if i hit you w that shotty person i bet that body flip
rt pop a molly why don t some of you hoes start popping birth control,1,rt pop a molly why don t some of you people start popping birth control
rt a sideline bitch will tell you everything you need to hear if you just listen she ultimately wants your man she dgaf a,1,rt a sideline person will tell you everything you need to hear if you just listen she ultimately wants your man she dgaf a
no flex zone hoe,1,no flex zone people
rt assyria got hella hoes,1,rt assyria got hella people
rt a hoes favorite line is don t judge me you don t know what i been through yeah i do a lot of dick,1,rt a people favorite line is don t judge me you don t know what i been through yeah i do a lot of dick
webbie to retarded,1,webbie to retarded
no bitch i did not want to wear makeup,1,no person i did not want to wear makeup
one mans hoe is another mans hoe they don t change nigga,1,one mans people is another mans people they don t change person
mufuckas been followin me on this bitch tho,1,mufuckas been followin me on this person tho
bro that hoe live,1,bro that people live
my sister is such a bitch to me when she don t get her way,1,my sister is such a person to me when she don t get her way
how do you photoshop yourself and still be ugly that s like cheating on test and still failing be ashamed bitch,1,how do you photoshop yourself and still be ugly that s like cheating on test and still failing be ashamed person
rt how to get unlimited pussy in high school,1,rt how to get unlimited pussy in high school
y don t that bitch just shoot herself so sick of all those whores,0,y don t that person just shoot herself so sick of all those whores
rt bitch change draws,1,rt person change draws
rt fuck da opps x fuck dear hoes x,1,rt messing around da opps x messing around dear people x
if you not lickin toes you a basic bitch and i can t fuck with a basic bitch,1,if you not lickin toes you a basic person and i can t messing around with a basic person
rt let me tell y all bitches something right quick,1,rt let me tell y all person something right quick
rt raising asia that lil bitch could dance bruh,1,rt raising asia that lil person could dance bruh
nah he pussy he won t,1,nah he pussy he won t
you ever see bitches comment on a vine like oh my god that s me knowin damn well she would neva do some shit like that lmfaaoo,1,you ever see person comment on a vine like oh my god that s me knowin damn well she would neva do some stuff like that lmfaaoo
rt that hoe brittish got the fuckin nerve,1,rt that people brittish got the fuckin nerve
rt my dick is called taco bell because bitches love it in their mouths but hate it in their ass,1,rt my dick is called taco bell because person love it in their mouths but hate it in their person
naw u just retarded kinfolk lol,1,naw u just retarded kinfolk lol
citi field bitches,1,citi field person
all i wanna do is get money and fuck model bitches russell simmons,1,all i wanna do is get money and messing around model person russell simmons
my main bitch and my side bitch mad at me i could give two fucks all i need is two cups,1,my main person and my side person mad at me i could give two fucks all i need is two cups
who tf is chrisis jones a nigga botta get his ass beat clearly bitch nigga u see real niggas conversatin,1,who tf is chrisis jones a person botta get his person beat clearly person person u see real person conversatin
faux noise pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either,0,faux noise pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either
rt idk why skinny bitches think they got ass cuh,1,rt idk why skinny person think they got person cuh
when bitches be tryna wash their shit on the low lol funny af,1,when person be tryna wash their stuff on the low lol funny af
rt you shoulda learned how to bake cuz bitches love cake,1,rt you shoulda learned how to bake cuz person love cake
took uber to amp from thr shakey club last weekend total cheaper than the parking had extra to throw at the hoes,1,took uber to amp from thr shakey club last weekend total cheaper than the parking had extra to throw at the people
fuck bitches get money,1,messing around person get money
stupid ass hoe,1,stupid person people
rt only the basic bitches put on for twitter,1,rt only the basic person put on for twitter
my twitter was hacked i m too pussy to admit that i said it and now i want to act like i never said it,1,my twitter was hacked i m too pussy to admit that i said it and now i want to act like i never said it
i hate ratchet country hoes i m ashamed,1,i hate ratchet country people i m ashamed
fucking cunts,1,messing around cunts
lmao u ain t a savage these hoes for everybody,1,lmao u ain t a savage these people for everybody
you can expect me to be a total bitch towards you now yet again,1,you can expect me to be a total person towards you now yet again
slap the bitch is fun didnt know beer wasnt that bad,1,slap the person is fun didnt know beer wasnt that bad
all these hoes sweating and chasing niggas on this show,1,all these people sweating and chasing person on this show
bobby bitch gt hot nigga,1,bobby person gt hot person
rt keshawn martin is soooooooooo fucking trash,1,rt keshawn martin is soooooooooo messing around trash
this account is so incredibly retarded,1,this account is so incredibly retarded
he looks like reg memphis tn trash we got them everywhere,0,he looks like reg memphis tn trash we got them everywhere
omg no plz stop calling me an idiot are we in kindergarden you fucking faggot,0,omg no plz stop calling me an idiot are we in kindergarden you messing around person
all bitches eh hahah,1,all person eh hahah
member when bitches put le in front of everything you not foreign mf,1,member when person put le in front of everything you not foreign mf
rt basically you can t be bold and be a hoe at the same time,1,rt basically you can t be bold and be a people at the same time
she gonna pop that pussy for a real niggaa,1,she gonna pop that pussy for a real niggaa
your such a bitch lol,1,your such a person lol
rt once i take my bra off don t ask me to do shit for u bitch bc once that bra comes off i am clocked out of life i am do,1,rt once i take my bra off don t ask me to do stuff for u person bc once that bra comes off i am clocked out of life i am do
light skin girls is the biggest hoes,1,light skin girls is the biggest people
rows for the hoes curls for the girls planks for the skanks deep cuts for the sluts quads for the broads no pecs no sex,1,rows for the people curls for the girls planks for the skanks deep cuts for the sluts quads for the broads no pecs no sex
to lay up w my bitch,1,to lay up w my person
sum of y all kno y all be on lock but talking bout bitch i ain t doing shit tonight ho i m tired,1,sum of y all kno y all be on lock but talking bout person i ain t doing stuff tonight ho i m tired
he said get up bitch that s not pg frohorsemen,1,he said get up person that s not pg frohorsemen
thanks walking dead bro steve for mend usmc come on you son n bitches you want to live forever dog,1,thanks walking dead bro steve for mend usmc come on you son n person you want to live forever dog
text your bitch some lyrics from that new ty dolla ign tape before she wake up so she ll nag you a little less today,1,text your person some lyrics from that new ty dolla ign tape before she wake up so she ll nag you a little less today
i still see plenty basic bitches with iphone s,1,i still see plenty basic person with iphone s
rt did that bitch ever get out of ludacris s way,1,rt did that person ever get out of ludacris s way
making the shittiest pigs in a blanket but they re gonna be good i m not tryna impress gordon ramsey s bitch ass i m trying to make poop,1,making the shittiest pigs in a blanket but they re gonna be good i m not tryna impress gordon ramsey s person person i m trying to make poop
dropped a stack cause bitch i m on song called dope download the mixtape here,1,dropped a stack cause person i m on song called dope download the mixtape here
rt bitch you a hoe check yo dms can i get a new follower,1,rt person you a people check yo dms can i get a new follower
guysssss you know what that means maaan most of my friends are hoes this can t be true,1,guysssss you know what that means maaan most of my friends are people this can t be true
rt i got problems and the bitch heard me call her a bitch so now i have,1,rt i got problems and the person heard me call her a person so now i have
can a quote this and tag a bitch,1,can a quote this and tag a person
i tell bitches i got that i t s ike turner syndrome,1,i tell person i got that i t s ike turner syndrome
rt tierra marie i m the princess of the roc rihanna y all get a good pic cause this bitch ain t gone be here long http,1,rt tierra marie i m the princess of the roc rihanna y all get a good pic cause this person ain t gone be here long http
just saw wat did to my car t bitch,1,just saw wat did to my car t person
you said that s yo bitch but that bitch look fu,1,you said that s yo person but that person look fu
thus bitch looks just like lindsay lohan she gets down just like lindsay lohan detroitgirls,1,thus person looks just like lindsay lohan she gets down just like lindsay lohan detroitgirls
rt why would i be in a relationship theses hoes go still do them,1,rt why would i be in a relationship theses people go still do them
destiny s child song say my name is the insecure bitches anthem,1,destiny s child song say my name is the insecure person anthem
rt this height shit aint cute at all yall some dumb hoes going out in public looking like jack and the bean stalk,1,rt this height stuff aint cute at all yall some dumb people going out in public looking like jack and the bean stalk
happy bday i love you my nigguh livinglegend,1,happy bday i love you my nigguh livinglegend
rt just call me a nigger cause that s what u really want to say at the end of the day,1,rt just call me a nigger cause that s what u really want to say at the end of the day
somethingigetalot are you asian black hawaiian gay retarded drunk,0,somethingigetalot are you asian black hawaiian gay retarded drunk
rt y all fat bitches with small titties look like teddy grahams,1,rt y all fat person with small titties look like teddy grahams
rt of bitches are hoes except my mama,1,rt of person are people except my mama
i might freak the bitch but dont need the bitch,1,i might freak the person but dont need the person
rt trigger finger keep my pussy wet no thanks,1,rt trigger finger keep my pussy wet no thanks
find her ass and push her down some stairs by accident throw some water on the floor shit kick a bitch,1,find her person and push her down some stairs by accident throw some water on the floor stuff kick a person
